SISTEMA,ZONA DE CARGA,CLAVE
BCA,ENSENADA,07ACU-115
BCA,ENSENADA,07AUE-115
BCA,ENSENADA,07CIP-115
BCA,ENSENADA,07CME-115
BCA,ENSENADA,07COE-115
BCA,ENSENADA,07EDA-115
BCA,ENSENADA,07ENT-115
BCA,ENSENADA,07EPC-115
BCA,ENSENADA,07FMO-115
BCA,ENSENADA,07GLL-115
BCA,ENSENADA,07JAT-115
BCA,ENSENADA,07JOV-230
BCA,ENSENADA,07LOS-115
BCA,ENSENADA,07MND-115
BCA,ENSENADA,07ONG-69
BCA,ENSENADA,07SAF-115
BCA,ENSENADA,07SAZ-115
BCA,ENSENADA,07SMA-115
BCA,ENSENADA,07SMN-115
BCA,ENSENADA,07SQN-115
BCA,ENSENADA,07SVE-115
BCA,ENSENADA,07TRI-115
BCA,ENSENADA,07VLP-69
BCA,MEXICALI,07APD-230
BCA,MEXICALI,07CNT-230
BCA,MEXICALI,07CNZ-161
BCA,MEXICALI,07CPC-161
BCA,MEXICALI,07CPD-230
BCA,MEXICALI,07CPT-230
BCA,MEXICALI,07CPU-161
BCA,MEXICALI,07CRO-161
BCA,MEXICALI,07CSC-230
BCA,MEXICALI,07CTY-161
BCA,MEXICALI,07CTY-230
BCA,MEXICALI,07FEV-161
BCA,MEXICALI,07GOR-161
BCA,MEXICALI,07KCH-161
BCA,MEXICALI,07MOE-161
BCA,MEXICALI,07MXI-161
BCA,MEXICALI,07MXI-230
BCA,MEXICALI,07NZI-161
BCA,MEXICALI,07OZA-230
BCA,MEXICALI,07PKD-161
BCA,MEXICALI,07RIN-161
BCA,MEXICALI,07ROA-230
BCA,MEXICALI,07RUM-69
BCA,MEXICALI,07SIS-161
BCA,MEXICALI,07SKW-161
BCA,MEXICALI,07STB-230
BCA,MEXICALI,07TEK-230
BCA,MEXICALI,07VPA-230
BCA,MEXICALI,07WIS-230
BCA,MEXICALI,07XCO-230
BCA,SANLUIS,07CHQ-230
BCA,SANLUIS,07HGO-161
BCA,SANLUIS,07PID-161
BCA,SANLUIS,07PID-230
BCA,SANLUIS,07RZC-161
BCA,SANLUIS,07SRY-230
BCA,TIJUANA,07BJO-69
BCA,TIJUANA,07CAE-69
BCA,TIJUANA,07CES-69
BCA,TIJUANA,07CNA-69
BCA,TIJUANA,07DRA-69
BCA,TIJUANA,07END-69
BCA,TIJUANA,07ENL-69
BCA,TIJUANA,07FCO-69
BCA,TIJUANA,07FLO-69
BCA,TIJUANA,07FOR-69
BCA,TIJUANA,07FTA-69
BCA,TIJUANA,07GER-69
BCA,TIJUANA,07HMO-69
BCA,TIJUANA,07HUN-69
BCA,TIJUANA,07INA-69
BCA,TIJUANA,07IOP-69
BCA,TIJUANA,07JOY-115
BCA,TIJUANA,07LGO-69
BCA,TIJUANA,07LMS-69
BCA,TIJUANA,07MAB-69
BCA,TIJUANA,07MEP-230
BCA,TIJUANA,07MEP-69
BCA,TIJUANA,07MSN-115
BCA,TIJUANA,07MXC-69
BCA,TIJUANA,07NEL-69
BCA,TIJUANA,07PAF-69
BCA,TIJUANA,07PAP-69
BCA,TIJUANA,07PJZ-115
BCA,TIJUANA,07PJZ-230
BCA,TIJUANA,07PNM-115
BCA,TIJUANA,07PNU-115
BCA,TIJUANA,07POP-115
BCA,TIJUANA,07RII-69
BCA,TIJUANA,07RSI-69
BCA,TIJUANA,07RUB-69
BCA,TIJUANA,07SED-69
BCA,TIJUANA,07SHA-115
BCA,TIJUANA,07SIO-69
BCA,TIJUANA,07TCD-69
BCA,TIJUANA,07TCT-69
BCA,TIJUANA,07TCU-69
BCA,TIJUANA,07TEE-69
BCA,TIJUANA,07TJD-69
BCA,TIJUANA,07TJI-69
BCA,TIJUANA,07TOY-230
BCA,TIJUANA,07UND-69
BCA,TIJUANA,07VAS-69
BCA,TIJUANA,07VIG-69
BCA,TIJUANA,07VPM-69
BCA,No Aplica,07IVY-230
BCA,No Aplica,07OMS-230
BCS,CONSTITUCION,07DOM-115
BCS,CONSTITUCION,07GAO-115
BCS,CONSTITUCION,07INS-115
BCS,CONSTITUCION,07LAP-115
BCS,CONSTITUCION,07LRO-115
BCS,CONSTITUCION,07PES-115
BCS,CONSTITUCION,07VIO-115
BCS,LA PAZ,07BLE-115
BCS,LA PAZ,07CAR-115
BCS,LA PAZ,07COR-230
BCS,LA PAZ,07ETR-115
BCS,LA PAZ,07LPZ-115
BCS,LA PAZ,07OLA-115
BCS,LA PAZ,07PAA-115
BCS,LA PAZ,07PUP-115
BCS,LA PAZ,07RCO-115
BCS,LA PAZ,07RFO-115
BCS,LOS CABOS,07ASJ-115
BCS,LOS CABOS,07CAB-115
BCS,LOS CABOS,07CAD-115
BCS,LOS CABOS,07CAF-115
BCS,LOS CABOS,07CAS-115
BCS,LOS CABOS,07CRE-115
BCS,LOS CABOS,07DLC-115
BCS,LOS CABOS,07MOR-115
BCS,LOS CABOS,07PML-115
BCS,LOS CABOS,07SJC-115
BCS,LOS CABOS,07SNT-115
BCS,LOS CABOS,07TCB-115
SIN,CENTRO ORIENTE,01AAN-85
SIN,CENTRO ORIENTE,01ACS-230
SIN,CENTRO ORIENTE,01ANL-85
SIN,CENTRO ORIENTE,01ARX-230
SIN,CENTRO ORIENTE,01CCZ-230
SIN,CENTRO ORIENTE,01CEA-85
SIN,CENTRO ORIENTE,01CFZ-85
SIN,CENTRO ORIENTE,01CRM-85
SIN,CENTRO ORIENTE,01DCA-85
SIN,CENTRO ORIENTE,01IRO-230
SIN,CENTRO ORIENTE,01JAS-85
SIN,CENTRO ORIENTE,01JRB-230
SIN,CENTRO ORIENTE,01JUA-85
SIN,CENTRO ORIENTE,01LFG-230
SIN,CENTRO ORIENTE,01NEC-85
SIN,CENTRO ORIENTE,01OTM-230
SIN,CENTRO ORIENTE,01PAC-85
SIN,CENTRO ORIENTE,01PIR-85
SIN,CENTRO ORIENTE,01PQI-115
SIN,CENTRO ORIENTE,01PTL-85
SIN,CENTRO ORIENTE,01PYG-230
SIN,CENTRO ORIENTE,01RAT-230
SIN,CENTRO ORIENTE,01SAO-85
SIN,CENTRO ORIENTE,01STU-115
SIN,CENTRO ORIENTE,01TCC-230
SIN,CENTRO ORIENTE,01TEP-85
SIN,CENTRO ORIENTE,01TIZ-230
SIN,CENTRO ORIENTE,01TLG-85
SIN,CENTRO ORIENTE,01TLT-85
SIN,CENTRO ORIENTE,01TUL-230
SIN,CENTRO ORIENTE,01TUL-400
SIN,CENTRO ORIENTE,01VIT-85
SIN,CENTRO ORIENTE,01VTU-85
SIN,CENTRO SUR,01AIN-115
SIN,CENTRO SUR,01ANM-115
SIN,CENTRO SUR,01ANU-115
SIN,CENTRO SUR,01ANU-69
SIN,CENTRO SUR,01ATM-115
SIN,CENTRO SUR,01ATU-115
SIN,CENTRO SUR,01AUO-115
SIN,CENTRO SUR,01AVA-115
SIN,CENTRO SUR,01BBR-115
SIN,CENTRO SUR,01CCM-115
SIN,CENTRO SUR,01CMO-115
SIN,CENTRO SUR,01COM-115
SIN,CENTRO SUR,01CSN-115
SIN,CENTRO SUR,01DOG-115
SIN,CENTRO SUR,01ECB-115
SIN,CENTRO SUR,01EDB-115
SIN,CENTRO SUR,01ELG-115
SIN,CENTRO SUR,01ENB-115
SIN,CENTRO SUR,01ESB-115
SIN,CENTRO SUR,01ETB-115
SIN,CENTRO SUR,01EUB-115
SIN,CENTRO SUR,01FPG-115
SIN,CENTRO SUR,01FRR-115
SIN,CENTRO SUR,01HTM-115
SIN,CENTRO SUR,01INU-115
SIN,CENTRO SUR,01ITD-115
SIN,CENTRO SUR,01IUN-115
SIN,CENTRO SUR,01IXS-115
SIN,CENTRO SUR,01IXT-115
SIN,CENTRO SUR,01JID-115
SIN,CENTRO SUR,01JIL-115
SIN,CENTRO SUR,01LAC-115
SIN,CENTRO SUR,01LES-115
SIN,CENTRO SUR,01MTI-115
SIN,CENTRO SUR,01NTG-115
SIN,CENTRO SUR,01PDO-115
SIN,CENTRO SUR,01PLO-115
SIN,CENTRO SUR,01PLZ-115
SIN,CENTRO SUR,01SMT-115
SIN,CENTRO SUR,01SSE-115
SIN,CENTRO SUR,01TIN-115
SIN,CENTRO SUR,01TJP-115
SIN,CENTRO SUR,01TMA-115
SIN,CENTRO SUR,01TPA-115
SIN,CENTRO SUR,01TQC-115
SIN,CENTRO SUR,01TTT-115
SIN,CENTRO SUR,01VGU-115
SIN,CENTRO SUR,01YBC-115
SIN,CENTRO SUR,01ZIR-69
SIN,LAZARO CARDENAS,01AMM-230
SIN,LAZARO CARDENAS,01ATG-69
SIN,LAZARO CARDENAS,01ATS-115
SIN,LAZARO CARDENAS,01CAY-115
SIN,LAZARO CARDENAS,01CNA-69
SIN,LAZARO CARDENAS,01CSR-115
SIN,LAZARO CARDENAS,01GMY-115
SIN,LAZARO CARDENAS,01ISO-115
SIN,LAZARO CARDENAS,01LCD-115
SIN,LAZARO CARDENAS,01LCP-230
SIN,LAZARO CARDENAS,01LCP-400
SIN,LAZARO CARDENAS,01MIR-115
SIN,LAZARO CARDENAS,01PIT-400
SIN,LAZARO CARDENAS,01PMT-115
SIN,LAZARO CARDENAS,01PMX-115
SIN,LAZARO CARDENAS,01SCD-230
SIN,LAZARO CARDENAS,01VIL-230
SIN,VDM CENTRO,01ARA-85
SIN,VDM CENTRO,01AUR-230
SIN,VDM CENTRO,01CDS-230
SIN,VDM CENTRO,01CDS-85
SIN,VDM CENTRO,01CHN-230
SIN,VDM CENTRO,01CMC-230
SIN,VDM CENTRO,01COY-230
SIN,VDM CENTRO,01CPG-230
SIN,VDM CENTRO,01CTD-230
SIN,VDM CENTRO,01DAA-230
SIN,VDM CENTRO,01HTC-85
SIN,VDM CENTRO,01INM-85
SIN,VDM CENTRO,01INN-85
SIN,VDM CENTRO,01JAM-85
SIN,VDM CENTRO,01KCR-230
